"COUNTRY","Country","VARIABLE","Variable","SOURCE","Source","YEAR","Year","Value","Flag Codes","Flags"
"BRA","Brazil","CHL","Chile","DEMAND","Tourism demand surveys","2019","2019",391689,,
"BRA","Brazil","CHL","Chile","DEMAND","Tourism demand surveys","2020","2020",131174,,
"BRA","Brazil","FRA","France","DEMAND","Tourism demand surveys","2019","2019",257504,,
"BRA","Brazil","FRA","France","DEMAND","Tourism demand surveys","2020","2020",70369,,
"BRA","Brazil","PRY","Paraguay","DEMAND","Tourism demand surveys","2019","2019",406526,,
"BRA","Brazil","PRY","Paraguay","DEMAND","Tourism demand surveys","2020","2020",122981,,
"BRA","Brazil","URY","Uruguay","DEMAND","Tourism demand surveys","2019","2019",364830,,
"BRA","Brazil","URY","Uruguay","DEMAND","Tourism demand surveys","2020","2020",113714,,
"BRA","Brazil","USA","United States","DEMAND","Tourism demand surveys","2019","2019",590520,,
"BRA","Brazil","USA","United States","DEMAND","Tourism demand surveys","2020","2020",172105,,
"JPN","Japan","NPL","Nepal","DEMAND","Tourism demand surveys","2021","2021",11648,"P","Provisional value"
"JPN","Japan","THA","Thailand","DEMAND","Tourism demand surveys","2020","2020",219830,,
"JPN","Japan","THA","Thailand","DEMAND","Tourism demand surveys","2021","2021",2758,"P","Provisional value"
"JPN","Japan","VNM","Vietnam","DEMAND","Tourism demand surveys","2021","2021",26586,"P","Provisional value"
"USA","United States","PER","Peru","DEMAND","Tourism demand surveys","2019","2019",331905,,
"USA","United States","PER","Peru","DEMAND","Tourism demand surveys","2020","2020",91917,,
"USA","United States","PER","Peru","DEMAND","Tourism demand surveys","2021","2021",404937,"F","Forecast value"
"USA","United States","COL","Colombia","DEMAND","Tourism demand surveys","2019","2019",944013,,
"USA","United States","COL","Colombia","DEMAND","Tourism demand surveys","2020","2020",270110,,
"USA","United States","COL","Colombia","DEMAND","Tourism demand surveys","2021","2021",1063659,"F","Forecast value"
"USA","United States","IND","India","DEMAND","Tourism demand surveys","2019","2019",1473517,,
"USA","United States","IND","India","DEMAND","Tourism demand surveys","2020","2020",335990,,
"USA","United States","IND","India","DEMAND","Tourism demand surveys","2021","2021",433305,"F","Forecast value"
"USA","United States","ECU","Ecuador","DEMAND","Tourism demand surveys","2019","2019",456741,,
"USA","United States","ECU","Ecuador","DEMAND","Tourism demand surveys","2020","2020",169366,,
"USA","United States","ECU","Ecuador","DEMAND","Tourism demand surveys","2021","2021",407417,"F","Forecast value"
